event_1,event_2,label,dup_type,char_sim,norm_sim,jaccard,len_1,len_2,tok_1,tok_2,len_diff,tok_diff,same_action,same_domain
geo_map_details_screen_button_click,geo_map_details_tab_link_click,1,semantic,0.7077,0.7077,0.5,35,30,6,6,5,0,1,1
card_p2p_incoming_p2p_delete_open,currency_payments_ved_filters_button_click,0,not_duplicate,0.2933,0.2933,0.0,33,42,6,6,9,0,0,0
deposit_confirm_open_deposit_error_click,card_issue_card_delivery_back,0,not_duplicate,0.4058,0.4058,0.0,40,29,6,5,11,1,0,0
subscription_owner_tariff_back,subscriotion_owner_tariff_back,1,typo,0.9667,0.9667,0.6,30,30,4,4,0,0,1,0
rko_signing_process_error,prelogin_lpr_choose_organizations_error,0,not_duplicate,0.4688,0.4688,0.125,25,39,4,5,14,1,1,0
ksp_early_repayment_step_two_aa_click,ksp_early_repayment_step_two_aa_tap,1,synonym,0.8889,0.8889,0.75,37,35,7,7,2,0,0,1
marketplace_screen_view,profile_trusted_networks_click,0,not_duplicate,0.1509,0.1509,0.0,23,30,3,4,7,1,0,0
chatv3_file_menu_share_click,chatv3-file-menu-share-click,1,case,0.8571,1.0,0.0,28,28,5,1,0,4,0,0
trusted_networks_edit_network_success,chat_with_bank_alert_chat_missing_open,0,not_duplicate,0.32,0.32,0.0,37,38,5,7,1,2,0,0
external_mydss_sign_error,ExternalMydssSignError,1,case,0.766,1.0,0.0,25,22,4,1,3,3,0,0
info_widget_impression,info_widget_shown,1,synonym,0.7692,0.7692,0.5,22,17,3,3,5,0,0,1
daily_pay_usage_interaction_take_money_button_click,Daily-Pay-Usage-Interaction-Take-Money-Button-Click,1,case,0.7059,1.0,0.0,51,51,8,1,0,7,0,0
longread_ao_like_click,longread_ao_like_vlick,1,typo,0.9545,0.9545,0.6,22,22,4,4,0,0,0,1
marketplace_carousel_card_hide,subscription_manager_subscription_details_screen_view,0,not_duplicate,0.241,0.241,0.0,30,53,4,6,23,2,0,0
cc2_fot_screen_view,cc2_fot_page_see,1,semantic,0.6286,0.6286,0.3333,19,16,4,4,3,0,0,1
quick_action_impression,whats_new_multistep_open,0,not_duplicate,0.2128,0.2128,0.0,23,24,3,4,1,1,0,0
pay_ecom_cashback_details_impression,abm_acq_landing_send_call_request_open_screen,0,not_duplicate,0.2963,0.2963,0.0,36,45,5,8,9,3,0,0
personal_insurance_account_call_to_manager_click,personal_insurance_profile_call_to_manager_tap,1,semantic,0.7872,0.7872,0.5556,48,46,7,7,2,0,0,1
abm_acq_sbp_dynamic_qr_view_all_impression,abm-acq-sbp-dynamic-qr-view-all-impression,1,case,0.8333,1.0,0.0,42,42,8,1,0,7,0,0
prelogin_lpr_request_info_send_s_open,cc2_fot_phone_enter,0,not_duplicate,0.2857,0.2857,0.0,37,19,7,4,18,3,0,0
change_of_ddu_data_bic_validation_error,of_change_ddu_data_bic_validation_error,1,permutation,0.9231,0.9231,1.0,39,39,7,7,0,0,1,0
individual_debit_confirmation_limit_exceed_error,INDIVIDUALDEBITCONFIRMATIONLIMITEXCEEDERROR,1,case,0.0,0.9451,0.0,48,43,6,1,5,5,0,0
guarantee_lpr_button_click,guaranee_lpr_button_click,1,typo,0.9804,0.9804,0.6,26,25,4,4,1,0,1,0
retention_retention_repeated_offer_close,onboarding_mmb_spotlight_impression,0,not_duplicate,0.1333,0.1333,0.0,40,35,5,4,5,1,0,0
external_card_save_result_screen_click,external_card_save_result_screen_click,1,exact,1.0,1.0,1.0,38,38,6,6,0,0,1,1
recommendations_spoiler_button_click,ai_summarizer_ai_response_expand,0,not_duplicate,0.2353,0.2353,0.0,36,32,4,5,4,1,0,0
universal_offer_lpr_send_error_button_click,universal_proposal_lpr_send_issue_button_click,1,semantic,0.7865,0.7865,0.5556,43,46,7,7,3,0,1,1
currency_payments_ved_search_field_click,check_notifications_results_screen_screen_view,0,not_duplicate,0.3023,0.3023,0.0,40,46,6,6,6,0,0,0
search_chat_search_chat_error_submit,search_chat_search_chat_error_aubmit,1,typo,0.9722,0.9722,0.6,36,36,6,6,0,0,0,1
geo_map_back_button_click,switcher_impression,0,not_duplicate,0.2727,0.2727,0.0,25,19,5,2,6,3,0,0
ksp_early_repayment_step_one_back,transaction_confirmation_enough_money_screen_view,0,not_duplicate,0.2439,0.2439,0.0,33,49,6,6,16,0,0,0
precious_metals_showcase_showcase_coins_order_success_screen_view,ruble_payment_nonresident_russian_bik_feild_click,0,not_duplicate,0.2281,0.2281,0.0,65,49,9,7,16,2,0,0
